,Average mass (tonnes),Maximum mass (tonnes),Average total length (m),Group,Biom
Blue whale,110,190,24,Mammal,Aquatic
North Pacific right whale,60,120,15.5,Mammal,Aquatic
Southern right whale,58,110,15.25,Mammal,Aquatic
Fin whale,57,120,19.5,Mammal,Aquatic
Bowhead whale,54.5,120,15,Mammal,Aquatic
North Atlantic right whale,54,110,15,Mammal,Aquatic
Sperm whale,31.25,57,13.25,Mammal,Aquatic
Humpback whale,29,48,13.5,Mammal,Aquatic
Sei whale,22.5,45,14.8,Mammal,Aquatic
Gray whale,19.5,45,13.5,Mammal,Aquatic
African bush elephant,4.9,10.4,6,Mammal,Terrestrial 
Asian elephant,4.15,8.15,6.8,Mammal,Terrestrial 
African forest elephant,2.7,6,6.2,Mammal,Terrestrial 
White rhinoceros[dubious  – discuss],2,4.5,4.4,Mammal,Terrestrial 
Indian rhinoceros,1.9,4,4.2,Mammal,Terrestrial 
Hippopotamus,1.8,4.5,4,Mammal,Terrestrial 
Javan rhinoceros,1.75,2.3,3.8,Mammal,Terrestrial 
Black rhinoceros,1.1,2.9,4,Mammal,Terrestrial 
Giraffe,1,2,5.15,Mammal,Terrestrial 
Gaur,0.95,1.5,3.8,Mammal,Terrestrial 
Saltwater crocodile,4.5,20,4.5,Reptile,Semiaquatic 
Nile crocodile,4.1,11,4.2,Reptile,Semiaquatic 
Orinoco crocodile,3.8,11,4.1,Reptile,Semiaquatic 
Leatherback sea turtle,3.64,9.32,2,Reptile,Aquatic
Black caiman,3.5,11,3.9,Reptile,Semiaquatic 
American crocodile,3.35,10,4,Reptile,Semiaquatic 
Gharial,2.5,9.77,4.5,Reptile,Semiaquatic 
American alligator,2.4,10,3.4,Reptile,Semiaquatic 
Mugger crocodile,2.25,7,3.3,Reptile,Semiaquatic 
Tomistoma,2.1,5,4,Reptile,Semiaquatic 
Aldabra giant tortoise,2.05,3.6,1.4,Reptile,Terrestrial 
Loggerhead sea turtle,2,5.45,0.95,Reptile,Aquatic
Green sea turtle,1.9,3.95,1.12,Reptile,Aquatic
Slender-snouted crocodile,1.8,3.25,3.3,Reptile,Semiaquatic 
Galapagos tortoise,1.75,4,1.5,Reptile,Terrestrial 
