	Eligible population	Total English speakers	As first language	As an additional language
United States	296603003	283160411	234171556	48988855
India	1028737436	125344737	226449	125118287
Pakistan	188400100	108036049	8642883	92316049
Nigeria	156493000	79000000		79000000
Philippines	110000000	64025890	36935	63988955
United Kingdom	64000000	59600000	54400000	5128000
Germany	80600000	45400000	272000	45100000
Canada	37138500	29748265	20193335	10287415
Australia	21394309	17357833	15013965	2343868
Italy	59619290	17000000		17000000
Bangladesh	163323100	30108031	709873	29398158
Egypt	83289500	28101325		28101325
Thailand	63038247	17121187		17121187
Netherlands	16770000	15250000		15250000
Nepal	29890686	10700866	20000	876720
South Africa	52981991	16424417	4930510	11493907
Poland	38501000	14300000	100000	14200000
Turkey	70586256	12000000		12000000
Iraq	31700000	11095000		11000000
Sri Lanka	22480000	10565600	37061	9680000
Spain	47190000	10400000		10400000
China	1210000000	10000000		10000000
Brazil	205000000	10542000	292000	10250000
Sweden	9921541	8200000		8200000
Kenya	43013431	8100000		7900000
Cameroon	19740000	7500000		7500000
Malaysia	27170000	15580000	380000	15200000
Russia	138312535	7574303	2522	7571787
Belgium	10584534	6250000		6250000
Israel	7303000	6205000	100000	6105000
Austria	8415000	6150000	58582	6150000
Romania	19043767	5900000		5900000
Zimbabwe	13349000	5550000	250000	5300000
Greece	10787690	5500000		5500000
Sierra Leone	5866000	4900000	500000	4400000
Mexico	120664000	15686262		15686262
Denmark	5543000	4770000		4770000
Switzerland	7637300	4680000	73400	4606600
Morocco	32770900	4587926		4587926
Norway	5136700	4500000		4500000
Ukraine	40044238	7207962		
Republic of Ireland	4422100	4350000	4122100	237900
Singapore	5607300	4218737	1873302	2345435
Ghana	27000000	18000000		18000000
Tanzania	40454000	4000000		4000000
New Zealand	4275100	3673623	3673623	
Finland	5410000	3800000		3800000
Portugal	10623000	2900000		2900000
Papua New Guinea	6331000	3150000	150000	3000000
Liberia	3750000	3100000	600000	2500000
Jordan	6598000	2969370		2969370
Jamaica	2714000	2650000	45900	50000
Algeria	35954000	2516780		2516780
Uganda	30884000	2500000		2500000
Hong Kong	6808433	3136784	238288	2898496
Czechia	10562214	2850000		2850000
Argentina	42192500	2752681		
Yemen	24800000	2232000		2232000
Croatia	4555000	2200000		2200000
Colombia	47661368	2012950	75600	1937350
Hungary	9982000	2000000		2000000
Puerto Rico	3991000	1940000	100000	1840000
Zambia	11922000	1910000	110000	1800000
Bulgaria	7640238	1900000	2605	1902605
Kazakhstan	12156705	1874583	602	1873981
Lebanon	4265600	1706000		1706000
Chile	16634603	1585027		
Rwanda	10137400	1520610		1520610
Slovakia	5397036	1400000		1400000
Trinidad and Tobago	1305000	1145000	1145000	
Slovenia	2050000	1210000		1210000
Lithuania	3053800	1160000		1160000
Latvia	2070371	950000		950000
Guyana	751000	680000	650000	30000
Botswana	1639833	630000		630000
Estonia	1294236	650000		650000
Cyprus	839000	610000		610000
Panama	4176869	584762		
Malawi	13931831	540209	209	540000
Lesotho	1795000	500000		500000
Suriname	470784	410000	260000	150000
Malta	453000	400000	48000	352000
Namibia	1820916	314000	14000	300000
Luxembourg	509000	290000		290000
Bahamas	330549	288000	260000	28000
Barbados	279000	275000	262000	13000
Belize	301270	246000	190000	56000
Madagascar	23042300	4147614		4147614
Costa Rica	4910526	400415		400415
France	65350000	23000000		23000000
Mauritius	1264866	202000	2000	200000
Vanuatu	215446	180000	60000	120000
Fiji	853445	176000	6000	170000
Solomon Islands	552438	175000	10000	165000
Guam	173456	158000	58000	100000
Brunei	381371	144000	10000	134000
Saint Vincent and the Grenadines	120000	114000	114000	
U.S. Virgin Islands	108448	113000	98000	15000
Grenada	110000	100000	100000	
Samoa	188540	94000	1000	93000
Isle of Man	80058	80000	80000	
Myanmar	53900000	2400000		2400000
Saint Lucia	165000	71000	31000	40000
Northern Mariana Islands	84000	70000	5000	65000
Antigua and Barbuda	85000	68000	66000	2000
American Samoa	57345	45933	1791	44142
Federated States of Micronesia	111000	64000	4000	60000
Bermuda	65000	63000	63000	
Dominica	67000	63000	3000	60000
Marshall Islands	59000	58000		500
Eswatini	1141000	50000		50000
Aruba	104000	44000	9000	35000
The Gambia	1709000	40000		40000
Saint Kitts and Nevis	50000	39000	39000	
Cayman Islands	47000	36000	36000	
Seychelles	87000	33000	3000	30000
Gibraltar	28875	28875	28000	875
Tonga	100000	30000		30000
Kiribati	95000	23000		23000
British Virgin Islands	23000	20000	20000	
Palau	20000	18500	500	18000
Andorra	81222	17869		17869
Anguilla	13000	12000	12000	
Nauru	12000	11600	900	10700
Cook Islands	20200	4000	1000	3000
Montserrat	5900	4000	4000	
