Park code,Park name,State,Amphibian,Bird,Fish,Insect,Mammal,Reptile
ACAD,Acadia National Park,ME,15,364,38,0,55,11
ARCH,Arches National Park,UT,8,205,11,0,59,20
BADL,Badlands National Park,SD,10,239,24,239,64,13
BIBE,Big Bend National Park,TX,13,415,53,0,89,62
BISC,Biscayne National Park,FL,8,233,818,11,28,40
BLCA,Black Canyon of the Gunnison National Park,CO,2,175,16,0,67,11
BRCA,Bryce Canyon National Park,UT,4,217,1,0,76,13
CANY,Canyonlands National Park,UT,7,220,33,0,76,22
CARE,Capitol Reef National Park,UT,6,248,15,0,73,21
CAVE,Carlsbad Caverns National Park,NM,15,367,5,0,92,62
CHIS,Channel Islands National Park,CA,4,357,273,2,44,11
CONG,Congaree National Park,SC,43,200,65,617,39,50
CRLA,Crater Lake National Park,OR,20,252,13,994,96,20
CUVA,Cuyahoga Valley National Park,OH,24,246,85,227,47,23
DEVA,Death Valley National Park,CA & NV,71,531,9,903,212,90
DENA,Denali National Park and Preserve,AK,1,179,14,51,43,0
DRTO,Dry Tortugas National Park,FL,0,283,281,0,6,5
EVER,Everglades National Park,FL,17,370,426,0,42,61
GAAR,Gates Of The Arctic National Park and Preserve,AK,1,134,17,0,39,0
GLBA,Glacier Bay National Park and Preserve,AK,5,258,359,35,58,3
GLAC,Glacier National Park,MT,6,277,27,197,69,4
GRCA,Grand Canyon National Park,AZ,15,456,29,57,106,76
GRTE,Grand Teton National Park,WY,7,266,21,154,74,5
GRBA,Great Basin National Park,NV,22,330,21,456,103,58
GRSA,Great Sand Dunes National Park and Preserve,CO,6,240,6,1,68,8
GRSM,Great Smoky Mountains National Park,TN & NC,61,272,107,2414,94,51
GUMO,Guadalupe Mountains National Park,TX,12,272,3,115,76,56
HALE,Haleakala National Park,HI,3,44,6,1061,15,10
HAVO,Hawaii Volcanoes National Park,HI,4,78,4,1429,15,13
HOSP,Hot Springs National Park,AR,27,387,90,15,52,52
ISRO,Isle Royale National Park,MI,13,261,63,0,26,5
JOTR,Joshua Tree National Park,CA,5,301,1,342,67,52
KATM,Katmai National Park and Preserve,AK,1,222,44,7,54,0
KEFJ,Kenai Fjords National Park,AK,1,235,42,3,55,0
KOVA,Kobuk Valley National Park,AK,1,125,26,0,38,0
LACL,Lake Clark National Park and Preserve,AK,1,193,55,3,50,0
LAVO,Lassen Volcanic National Park,CA,17,245,20,95,100,22
MACA,Mammoth Cave National Park,KY,33,210,122,270,56,42
MEVE,Mesa Verde National Park,CO,8,237,0,0,86,21
MORA,Mount Rainier National Park,WA,16,187,23,47,69,5
NOCA,North Cascades National Park,WA,12,226,33,559,79,10
OLYM,Olympic National Park,WA,16,310,97,87,80,6
PEFO,Petrified Forest National Park,AZ,8,244,0,0,62,21
PINN,Pinnacles National Park,CA,10,170,6,323,60,29
REDW,Redwood National Park,CA,33,501,247,744,154,39
ROMO,Rocky Mountain National Park,CO,5,277,12,676,74,3
SAGU,Saguaro National Park,AZ,10,246,0,0,102,62
SEKI,Sequoia and Kings Canyon National Parks,CA,13,220,19,0,89,24
SHEN,Shenandoah National Park,VA,40,268,41,318,63,38
THRO,Theodore Roosevelt National Park,ND,8,223,32,73,66,13
VOYA,Voyageurs National Park,MN,15,238,58,33,63,6
WICA,Wind Cave National Park,SD,7,235,8,105,89,12
WRST,Wrangell - St Elias National Park and Preserve,AK,2,211,93,58,62,1
YELL,Yellowstone National Park,WY & MT & ID,9,330,19,1628,78,9
YOSE,Yosemite National Park,CA,15,270,10,0,88,22
ZION,Zion National Park,UT,7,301,15,0,80,30
